Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
SYK,Stryker Corp.,0.139,4,$314.84,6.72,$327.78,$280.25,16.96,$392.86
KOF,Coca-Cola FEMSA S A CV,0.138,3,$106.25,9.34,$114.34,$76.77,48.94,$114.34
EQT,EQT Corp.,0.137,3,$53.17,6.19,$53.63,$47.79,12.22,$67.84
LRCX,Lam Research,0.136,7,$433.33,5.72,$311.22,$93.59,232.54,$438.50
BA,Boeing Co.,0.136,6,$216.47,3.38,$209.76,$176.77,18.66,$254.35
JNJ,Johnson & Johnson,0.135,12,$253.97,3.96,$272.48,$170.35,59.95,$276.47
DB,Deutsche Bank AG,0.135,4,$33.86,10.80,$38.50,$27.13,41.91,$39.01
MAT,Mattel Inc.,0.135,2,$13.88,8.92,$14.82,$12.73,16.42,$22.48
BLDR,Builders FirstSource Inc.,0.134,6,$89.48,5.60,$70.90,$65.10,8.91,$151.03
UAA,Under Armour Inc.,0.134,1,,10.98,$5.36,$4.13,29.78,$8.15
TEL,TE Connectivity plc,0.133,8,$201.61,3.93,$201.88,$189.53,6.52,$250.61
SLB,Schlumberger Ltd.,0.133,8,$46.49,4.36,$53.68,$31.05,72.88,$58.51
QCOM,QUALCOMM Inc.,0.133,7,$184.79,3.66,$158.92,$121.54,30.76,$258.96
DHI,D.R. Horton,0.132,4,$162.88,6.59,$149.20,$130.96,13.93,$182.36
BFAM,Bright Horizons Family Solutions Inc.,0.132,2,$70.88,8.28,$74.24,$57.63,28.82,$124.25
FISV,Fiserv Inc.,0.131,9,$49.05,2.79,$52.84,$47.04,12.33,$140.09
CB,Chubb Limited,0.131,6,$340.74,4.79,$345.73,$262.86,31.53,$365.91
PHM,PulteGroup Inc.,0.131,3,$137.21,8.64,$130.26,$108.26,20.32,$143.88
CBRE,CBRE Group,0.130,7,$134.69,3.67,$151.32,$121.69,24.35,$174.27
RYN,Rayonier Inc.,0.129,1,,10.54,$21.22,$19.25,10.23,$24.84
