Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price to earnings ratio forward,"Return on invested capital %, Trailing 12 months","Return on capital employed %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Current ratio, Quarterly","Gross margin %, Annual","Operating margin %, Annual","Net margin %, Annual","Interest coverage, Annual","Debt to equity ratio, Quarterly","EBITDA interest coverage, Annual",Country or region of registration,"Free cash flow margin %, Annual","Free cash flow, Annual","Free cash flow, Annual - Currency","Performance %, Year to date","Performance %, 6 months","Performance %, 1 year","Performance %, 5 years",Price,Price - Currency,"Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day",Sector,Industry,"Altman Z-score, Trailing 12 months","Piotroski F-score, Trailing 12 months"
1SXP,SCHOTT Pharma AG & Co. KGaA,3910945534.34679,USD,23.48922753547031,,16.1124833745012,15.078715949825177,9.2585779226925,16.1124833745012,1.58692270480996,33.7112785309417,17.8367690451324,14.8501840378824,8.907636216325702,0,12.930322057929917,Germany,3.6094746554993353,41770943.68,USD,47.233201581027686,36.78090575275399,-10.95617529880478,-25.499999999999996,22.35,EUR,19.65251276509973,18.24970040219113,69.54266668396372,Health technology,Medical specialties,2.9819229388488,7
4536,"Santen Pharmaceutical Co., Ltd.",3905349123.7029557,USD,16.352452152455687,15.37277167402173,11.9419206928759,13.87371239933097,9.38769764021107,13.3015091276774,2.81576116191501,53.1907524757907,15.5045538090143,12.8110169259046,32.505391804457226,0.103266136686838,45.703091301222145,Japan,12.569610182975339,230859488,USD,19.49569495694957,10.80695751354434,25.395288802839627,20.9085252022402,1943,JPY,1968.047507625204,1813.0169258816366,45.62435785647776,Health technology,Pharmaceuticals: major,5.75498289269267,9
AGL,AGL Energy Limited,3904819804.03288,USD,,8.736804558849757,-1.20784501315475,7.970286213677082,-0.652876535229476,-2.01979802019798,1.02026855839878,12.4852358785521,5.18307510595428,-0.680886542069061,2.043835616438356,0.947412882787751,4.602739726027397,Australia,-1.9731814076287089,-186752720.00000003,USD,-11.69527896995708,-16.86868686868687,-18.595450049455973,11.820652173913045,8.23,AUD,8.465395130482474,9.012837501065574,44.33364031840089,Utilities,Electric utilities,1.34165508515539,4
BAIN,Monte-Carlo Societe des Bains de Mer SA,3904564078.8922496,USD,29.11018421967327,,6.68379259952413,4.058187724864512,5.04696846036023,6.7969146654573,0.977878872466129,15.8237442053192,8.68778480116439,13.098706309209,106.17163120567376,0.026939901783160098,242.25957446808513,Monaco,2.944754087324709,29312892.27,USD,27.01421800947867,0.7518796992481203,28.846153846153847,83.0601167920813,134,EUR,137.27023347800423,128.01572642834358,33.76921195150311,Consumer services,Hotels/Resorts/Cruise lines,4.48592356313781,7
RNST,Renasant Corporation,3902970927.858648,USD,12.793240854480631,11.176336946404884,6.97615063003156,1.9721286824232205,1.17119206509405,8.21033924199946,0.180217977899593,,28.020641221745958,18.399270005572397,,0.28715718279124397,,United States,16.470419528050858,237751000,USD,21.513944223107575,2.9659995177236653,18.57817272979729,19.207146845337807,42.7,USD,42.51441578554581,39.60793266893044,45.72671414940473,Finance,Regional banks,,
5832,"Chugin Financial Group,Inc.",3899571507.153607,USD,13.508032331314526,,2.98228360562988,0.34383043104965466,0.386123517111798,7.05058339390605,1.40679517827171,,25.24364265743576,26.43123418985488,,2.6054671780730803,,Japan,34.14292963837345,487295154,USD,33.45403339368336,-0.3604686091919495,60.31899468342194,272.69662921348316,3317,JPY,3218.0328918016885,2840.9219037409443,52.25092694017105,Finance,Regional banks,,
603920,"Olympic Circuit Technology Co., Ltd. Class A",3898819160.1868796,USD,48.107171420954415,,8.21008675580504,7.409163246832441,5.78561183006222,8.21178806896271,2.31355885116704,20.3487157181139,11.3495639030263,12.303025754616,76.18699682957144,0.187017794233505,115.30331927977079,China,3.3260777804437045,26434078.843200002,USD,-25.587628865979372,-42.96776232616941,15.00956022944552,155.95744680851064,36.09,CNY,42.32438778401692,47.54514810087491,45.26240198020953,Electronic technology,Electronic production equipment,8.87087476257816,5
COL,Colonial SFL SOCIMI SA,3896568838.88577,USD,10.447054366357264,15.757142857142858,3.31264058340927,,2.62279191503665,5.61455477391848,0.451852828182485,83.5064849282624,74.9725174920855,81.2559859968956,2.911842044986028,0.8630083861861689,2.9687113472903017,Spain,42.939944232919565,213790182.75,USD,1.0999083409715784,2.129629629629617,-7.621440536013401,-39.395604395604394,5.515,EUR,5.565669550902411,5.49047335915371,44.71621641897979,Finance,Real estate investment trusts,0.645849365043342,
VAC,Marriott Vacations Worldwide Corporation,3894926176.756459,USD,,12.730716124142246,-4.36202167950895,,-3.4493442115047,-14.7104162078837,1.21636615811373,18.0643879173291,11.0095389507154,-6.120826709062,3.2781065088757395,2.68546426835197,4.159763313609467,United States,-0.5763116057233705,-29000000,USD,94.77124183006535,100.4957507082153,58.09018567639258,-20.242287646147343,113.24,USD,96.73287964092312,79.83459831189631,61.27555878494173,Consumer services,Other consumer services,1.12445236302849,
BBWI,"Bath & Body Works, Inc.",3894174350.823183,USD,5.414342964436847,7.08546716406744,21.6885441527446,30.224452809145408,14.7704185290532,,1.37908496732026,43.7800027431079,15.8825949801125,8.90138526951036,4.195652173913044,,5.115942028985507,United States,11.863941846111645,865000000,USD,-5.294117647058815,-14.664310954063604,-33.94871794871795,-69.43037974683544,19.32,USD,20.186611499439262,21.564057598612994,42.14132357651364,Retail trade,Specialty stores,2.32103854403783,6
